name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;expandable
DW_intake_structure_1;intake_structure;water;water-treatment;0.0;200.0;inf;0;0;1000.0;20.0;40.0;0.008;0.98;0.0;0.2;0.01;0.0;ac-elec-bus;groundwater-bus;DW_intake_structure_1_out_bus;True
DW_coarse_bar_screen_1;coarse_bar_screen;water;water-treatment;0.0;200.0;inf;0;0;700.0;20.0;25.0;0.04;0.9;0.0;0.12;0.03;0.0;ac-elec-bus;DW_intake_structure_1_out_bus;DW_coarse_bar_screen_1_out_bus;True
DW_cartridge_filter_1;cartridge_filter;water;water-treatment;0.0;300.0;inf;0;0;600.0;30.0;15.0;0.06;0.97;0.0;0.08;0.04;0.0;ac-elec-bus;DW_coarse_bar_screen_1_out_bus;DW_cartridge_filter_1_out_bus;True
DW_simple_oxidation_1;simple_oxidation;water;water-treatment;0.0;250.0;inf;0;0;700.0;35.0;15.0;0.07;;0.0;0.08;0.06;0.008;ac-elec-bus;DW_cartridge_filter_1_out_bus;DW_simple_oxidation_1_out_bus;True
DW_coagulation_flocculation_1;coagulation_flocculation;water;water-treatment;0.0;300.0;inf;0;0;700.0;20.0;25.0;0.04;0.95;0.0;0.3;0.05;0.008;ac-elec-bus;DW_simple_oxidation_1_out_bus;DW_coagulation_flocculation_1_out_bus;True
DW_slow_sand_filter_1;slow_sand_filter;water;water-treatment;0.0;300.0;inf;0;0;700.0;20.0;25.0;0.015;0.98;0.0;2.5;0.06;0.0;ac-elec-bus;DW_coagulation_flocculation_1_out_bus;DW_parallel_6_out_bus;True
DW_ceramic_filter_1;ceramic_filter;water;water-treatment;0.0;200.0;inf;0;0;150.0;15.0;8.0;0.02;0.97;0.0;0.04;0.03;0.0;ac-elec-bus;DW_coagulation_flocculation_1_out_bus;DW_parallel_6_out_bus;True
DW_activated_carbon_filter_1;activated_carbon_filter;water;water-treatment;0.0;400.0;inf;0;0;600.0;20.0;10.0;0.05;0.97;0.0;0.08;0.04;0.008;ac-elec-bus;DW_ultrafiltration_1_out_bus;DW_parallel_9_out_bus;True
DW_adsorption_1;adsorption;water;water-treatment;0.0;400.0;inf;0;0;700.0;30.0;12.0;0.06;;0.0;0.1;0.06;0.008;ac-elec-bus;DW_ultrafiltration_1_out_bus;DW_parallel_9_out_bus;True
DW_ion_exchange_1;ion_exchange;water;water-treatment;0.0;450.0;inf;0;0;1000.0;50.0;12.0;0.06;0.96;0.0;0.12;0.08;0.04;ac-elec-bus;DW_parallel_9_out_bus;DW_ion_exchange_1_out_bus;True
DW_photocatalysis_1;photocatalysis;water;water-treatment;0.0;600.0;inf;0;0;1200.0;45.0;10.0;0.12;;0.0;0.1;0.07;0.008;ac-elec-bus;DW_membrane_distillation_1_out_bus;DW_parallel_14_out_bus;True
DW_ozonation_1;ozonation;water;water-treatment;0.0;700.0;inf;0;0;1200.0;50.0;15.0;;;0.0;0.12;0.08;0.008;ac-elec-bus;DW_membrane_distillation_1_out_bus;DW_parallel_14_out_bus;True
DW_slow_sand_filter_2;slow_sand_filter;water;water-treatment;0.0;300.0;inf;0;0;700.0;20.0;25.0;0.015;0.98;0.0;2.5;0.06;0.0;ac-elec-bus;DW_biological_denitrification_1_out_bus;DW_parallel_16_out_bus;True
DW_ceramic_filter_2;ceramic_filter;water;water-treatment;0.0;200.0;inf;0;0;150.0;15.0;8.0;0.02;0.97;0.0;0.04;0.03;0.0;ac-elec-bus;DW_biological_denitrification_1_out_bus;DW_parallel_16_out_bus;True
DW_uv_disinfection_1;uv_disinfection;water;water-treatment;50.0;300.0;inf;0;0;700.0;40.0;12.0;1.2;;0.0;0.1;0.06;0.005;ac-elec-bus;DW_parallel_16_out_bus;DW_parallel_17_out_bus;True
DW_chlorination_1;chlorination;water;water-treatment;0.0;250.0;inf;0;0;700.0;35.0;15.0;0.06;;0.0;0.12;0.06;0.008;ac-elec-bus;DW_parallel_16_out_bus;DW_parallel_17_out_bus;True
DW_activated_carbon_filter_2;activated_carbon_filter;water;water-treatment;0.0;400.0;inf;0;0;600.0;20.0;10.0;0.05;0.97;0.0;0.08;0.04;0.008;ac-elec-bus;DW_parallel_17_out_bus;drinking-water-bus;True
