name;type;bus;marginal_cost;resource_cost;ghg_emission_factor;water_consumption_factor;indirect_water_consumption_factor;verbose_name;output_parameters
ac-electricity-excess;excess;ac-elec-bus;0.0;0.0;0.0;0.0;0.0;Excess AC Electricity;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}"
excess-biomass;excess;biomass-bus;0.0;0.0;0.0;0.0;0.0;Excess Biomass;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}"
excess-human-feces;excess;human-feces-bus;909090.9090909091;100000.0;100000.0;100000.0;100000.0;Excess Human Feces;"{""custom_attributes"": {""ghg_emission_factor"": 100000.0, ""water_consumption_factor"": 100000.0, ""indirect_water_consumption_factor"": 100000.0, ""resource_cost"": 100000.0}}"
excess-human-urine;excess;human-urine-bus;909090.9090909091;100000.0;100000.0;100000.0;100000.0;Excess Human Urine;"{""custom_attributes"": {""ghg_emission_factor"": 100000.0, ""water_consumption_factor"": 100000.0, ""indirect_water_consumption_factor"": 100000.0, ""resource_cost"": 100000.0}}"
dc-electricity-excess;excess;dc-elec-bus;0.0;0.0;0.0;0.0;0.0;Excess DC Electricity;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}"
excess-drinking-water;excess;drinking-water-bus;0.0;0.0;0.0;0.0;0.0;Excess Drinking Water;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}"
brine-excess;excess;brine-bus;0.0;0.0;0.0;0.0;0.0;Excess Brine;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}"
excess-dry-feces;excess;dry-feces-bus;0.0;0.0;0.0;0.0;0.0;Excess Dry Feces;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}"
excess-animal-feces;excess;animal-feces-bus;909090.9090909091;100000.0;100000.0;100000.0;100000.0;Excess Animal Feces;"{""custom_attributes"": {""ghg_emission_factor"": 100000.0, ""water_consumption_factor"": 100000.0, ""indirect_water_consumption_factor"": 100000.0, ""resource_cost"": 100000.0}}"
excess-animal-urine;excess;animal-urine-bus;909090.9090909091;100000.0;100000.0;100000.0;100000.0;Excess Animal Urine;"{""custom_attributes"": {""ghg_emission_factor"": 100000.0, ""water_consumption_factor"": 100000.0, ""indirect_water_consumption_factor"": 100000.0, ""resource_cost"": 100000.0}}"
excess-service-water;excess;service-water-bus;0.0;0.0;0.0;0.0;0.0;Excess Service Water;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""water_consumption_factor"": 0.0, ""indirect_water_consumption_factor"": 0.0, ""resource_cost"": 0.0}}"
greywater_disposal;excess;grey-water-bus;909090.9090909091;100000.0;100000.0;100000.0;100000.0;Grey Water Disposal;"{""custom_attributes"": {""ghg_emission_factor"": 100000.0, ""water_consumption_factor"": 100000.0, ""indirect_water_consumption_factor"": 100000.0, ""resource_cost"": 100000.0}}"
